bucket,label,time_us,time_ms,percent,count
cpu_python,CPU — Python,1500.07,1.5001,0.981,7
cpu_native,CPU — Native,26013.30,26.0133,17.009,93
gpu_compute,GPU Compute,85970.10,85.9701,56.212,30
gpu_memory,GPU Memory-bound,5952.97,5.9530,3.892,5
gpu_idle_gap,GPU Idle — gap,863.99,0.8640,0.565,2
gpu_idle_sync,GPU Idle — sync,7316.47,7.3165,4.784,2
network,Network,13639.68,13.6397,8.918,4
mem_transfer,Mem Transfer (DMA),6327.42,6.3274,4.137,3
allocator,Allocator,5356.06,5.3561,3.502,7
